threshold,recall,precision,f1,roc_auc,avg_precision,tn,fp,fn,tp,fpr,predicted_positive,model,n_models
0.09575554397982039,1.0,0.08527131782945736,0.15714285714285714,0.8750412366275508,0.3382631165592624,578,708,0,66,0.5505443234836703,774,ExtraTrees+LogisticRegression+AdaBoost_SMOTE,3
0.07231843695104657,1.0,0.08472400513478819,0.15621301775147928,0.877809981620246,0.33707478652475104,573,713,0,66,0.5544323483670296,779,LightGBM+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,4
0.0743166579848653,1.0,0.08472400513478819,0.15621301775147928,0.8776803807908007,0.32597600100712876,573,713,0,66,0.5544323483670296,779,RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,4
0.13613331596973058,1.0,0.08461538461538462,0.15602836879432624,0.8673358782223479,0.2871851479596155,572,714,0,66,0.5552099533437014,780,LogisticRegression+AdaBoost_SMOTE,2
0.059854749560837264,1.0,0.08450704225352113,0.15584415584415584,0.8797775578490975,0.34266353290607926,571,715,0,66,0.5559875583203733,781,LightGBM+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,5
0.0627756568776469,1.0,0.0842911877394636,0.15547703180212014,0.8790470804467694,0.32530776899178754,569,717,0,66,0.557542768273717,783,XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,5
0.09142458260139542,1.0,0.0842911877394636,0.15547703180212014,0.8739573024176446,0.33584542480795093,569,717,0,66,0.557542768273717,783,LightGBM+LogisticRegression+AdaBoost_SMOTE,3
0.052647566708826615,1.0,0.08418367346938775,0.15529411764705883,0.8804491257834959,0.3378191523384637,568,718,0,66,0.5583203732503889,784,LightGBM+XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,6
0.050294948639749086,1.0,0.08418367346938775,0.15529411764705883,0.8790942080211132,0.33872764530740246,568,718,0,66,0.5583203732503889,784,XGBoost+LightGBM+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,6
0.07596957109705864,1.0,0.08418367346938775,0.15529411764705883,0.8772915783024647,0.3344481030898097,568,718,0,66,0.5583203732503889,784,XGBoost_SMOTE+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,4
0.052729038070423784,1.0,0.0840764331210191,0.15511163337250294,0.8789174796173241,0.3300235337630958,567,719,0,66,0.5590979782270606,785,XGBoost+XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,6
0.05995251519475388,1.0,0.0840764331210191,0.15511163337250294,0.8780809651727226,0.3343237742012116,567,719,0,66,0.5590979782270606,785,XGBoost+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,5
0.0583539383676989,1.0,0.0840764331210191,0.15511163337250294,0.8780338375983788,0.3409784266905786,567,719,0,66,0.5590979782270606,785,XGBoost+LightGBM+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,5
0.07244064399344234,1.0,0.0840764331210191,0.15511163337250294,0.8765375371129648,0.33561648563128765,567,719,0,66,0.5590979782270606,785,XGBoost+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,4
0.04548304918389541,1.0,0.08396946564885496,0.15492957746478872,0.8798953767849569,0.33651510783269667,566,720,0,66,0.5598755832037325,786,XGBoost+LightGBM+XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,7
0.061177080050591935,1.0,0.08396946564885496,0.15492957746478872,0.8796126113388943,0.33878173075521334,566,720,0,66,0.5598755832037325,786,LightGBM+XGBoost_SMOTE+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,5
0.09408887731315373,1.0,0.08396946564885496,0.15492957746478872,0.8736509731844102,0.30583100703541327,566,720,0,66,0.5598755832037325,786,RandomForest+LogisticRegression+AdaBoost_SMOTE,3
0.06127484568450855,1.0,0.08375634517766498,0.15456674473067916,0.8782694754700975,0.3339365223889173,564,722,0,66,0.5614307931570762,788,XGBoost+XGBoost_SMOTE+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,5
0.06369807799265956,1.0,0.08375634517766498,0.15456674473067916,0.8780809651727226,0.3222958993358257,564,722,0,66,0.5614307931570762,788,RandomForest+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,5
0.051396890714544646,1.0,0.08365019011406843,0.1543859649122807,0.8794241010415194,0.33935859744635155,563,723,0,66,0.562208398133748,789,XGBoost+LightGBM+XGBoost_SMOTE+ExtraTrees+LogisticRegression+AdaBoost_SMOTE,6
0.06919242295962362,1.0,0.08365019011406843,0.1543859649122807,0.875170837456996,0.3357264031730372,563,723,0,66,0.562208398133748,789,XGBoost+LightGBM+LogisticRegression+AdaBoost_SMOTE,4
0.07712259749082445,1.0,0.08354430379746836,0.1542056074766355,0.8763961543899336,0.3309174235199182,562,724,0,66,0.5629860031104199,790,ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,4
0.09158752532458979,1.0,0.08354430379746836,0.1542056074766355,0.8727673311654649,0.3324158115766406,562,724,0,66,0.5629860031104199,790,XGBoost+LogisticRegression+AdaBoost_SMOTE,3
0.053416250971337155,1.0,0.08343868520859671,0.15402567094515754,0.8795772656581367,0.34051478457610224,561,725,0,66,0.5637636080870918,791,LightGBM+RandomForest+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,6
0.04614192140890445,1.0,0.08343868520859671,0.15402567094515754,0.8785522409161599,0.33807219570087377,561,725,0,66,0.5637636080870918,791,XGBoost+LightGBM+RandomForest+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,7
0.05349772233293434,1.0,0.08343868520859671,0.15402567094515754,0.8778688910881758,0.3323058828232353,561,725,0,66,0.5637636080870918,791,XGBoost+RandomForest+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,6
0.048158451182399475,1.0,0.08333333333333333,0.15384615384615385,0.8787878787878788,0.32836242350983297,560,726,0,66,0.5645412130637636,792,LightGBM+XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,7
0.05585034040201187,1.0,0.08333333333333333,0.15384615384615385,0.8775154342805976,0.3189893055122298,560,726,0,66,0.5645412130637636,792,XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,6
0.07106843695104657,1.0,0.08333333333333333,0.15384615384615385,0.8773269239832225,0.3289862498977601,560,726,0,66,0.5645412130637636,792,LightGBM+RandomForest+LogisticRegression+AdaBoost_SMOTE,4
0.07119064399344234,1.0,0.08333333333333333,0.15384615384615385,0.875736368349121,0.3263557579735474,560,726,0,66,0.5645412130637636,792,XGBoost+RandomForest+LogisticRegression+AdaBoost_SMOTE,4
0.09629276146274485,1.0,0.08333333333333333,0.15384615384615385,0.873309298270418,0.30736159826402254,560,726,0,66,0.5645412130637636,792,XGBoost_SMOTE+LogisticRegression+AdaBoost_SMOTE,3
0.06209950116560459,1.0,0.0832282471626734,0.15366705471478465,0.8783283849380272,0.3348449028446744,559,727,0,66,0.5653188180404355,793,LightGBM+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,5
0.060177080050591934,1.0,0.08312342569269521,0.15348837209302327,0.8785993684905038,0.32718601567409905,558,728,0,66,0.5660964230171073,794,LightGBM+XGBoost_SMOTE+RandomForest+LogisticRegression+AdaBoost_SMOTE,5
0.0573539383676989,1.0,0.08312342569269521,0.15348837209302327,0.8772208869409491,0.3299239862922578,558,728,0,66,0.5660964230171073,794,XGBoost+LightGBM+RandomForest+LogisticRegression+AdaBoost_SMOTE,5
0.06502040848241424,1.0,0.0830188679245283,0.15331010452961671,0.8764668457514492,0.3227186932876571,557,729,0,66,0.5668740279937792,795,XGBoost_SMOTE+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,5
0.07471957109705864,1.0,0.0830188679245283,0.15331010452961671,0.8762783354540742,0.313794207386211,557,729,0,66,0.5668740279937792,795,XGBoost_SMOTE+RandomForest+LogisticRegression+AdaBoost_SMOTE,4
0.1029550957512724,1.0,0.0829145728643216,0.1531322505800464,0.8793651915735897,0.3367668233164839,556,730,0,66,0.567651632970451,796,LightGBM+XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,7
0.0482282837780542,1.0,0.0829145728643216,0.1531322505800464,0.8775743437485273,0.32167566190086333,556,730,0,66,0.567651632970451,796,XGBoost+XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,7
0.07272135006323992,1.0,0.0829145728643216,0.1531322505800464,0.8767142655167538,0.3366205126991755,556,730,0,66,0.567651632970451,796,LightGBM+XGBoost_SMOTE+LogisticRegression+AdaBoost_SMOTE,4
0.042450637788888065,1.0,0.08281053952321205,0.15295480880648898,0.878387294405957,0.33404681885132764,555,731,0,66,0.5684292379471229,797,XGBoost+LightGBM+XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,8
0.11953943096665924,1.0,0.08281053952321205,0.15295480880648898,0.8780809651727225,0.3271948731785644,555,731,0,66,0.5684292379471229,797,XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,6
0.06027484568450855,1.0,0.08281053952321205,0.15295480880648898,0.8768792120269571,0.320827878412897,555,731,0,66,0.5684292379471229,797,XGBoost+XGBoost_SMOTE+RandomForest+LogisticRegression+AdaBoost_SMOTE,5
0.0621972667995212,1.0,0.08281053952321205,0.15295480880648898,0.876879212026957,0.3349573326553472,555,731,0,66,0.5684292379471229,797,XGBoost+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,5
0.09783012998776595,1.0,0.08281053952321205,0.15295480880648898,0.8722960554220274,0.3013762170360062,555,731,0,66,0.5684292379471229,797,LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,3
0.050563557381211315,1.0,0.08270676691729323,0.1527777777777778,0.8783401668316131,0.3279538900594279,554,732,0,66,0.5692068429237948,798,XGBoost+LightGBM+XGBoost_SMOTE+RandomForest+LogisticRegression+AdaBoost_SMOTE,6
0.052165574977055186,1.0,0.08270676691729323,0.1527777777777778,0.8778453273010038,0.33702175533839074,554,732,0,66,0.5692068429237948,798,XGBoost+LightGBM+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,6
0.09030807111289599,1.0,0.0825,0.15242494226327943,0.8784226400867148,0.3352246986521202,552,734,0,66,0.5707620528771384,800,XGBoost+LightGBM+XGBoost_SMOTE+RandomForest+ExtraTrees+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,8
0.05451819304613272,1.0,0.0825,0.15242494226327943,0.878187002214996,0.330531467453954,552,734,0,66,0.5707620528771384,800,LightGBM+XGBoost_SMOTE+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,6
0.0545996644077299,1.0,0.0825,0.15242494226327943,0.8767849568782694,0.331530958341042,552,734,0,66,0.5707620528771384,800,XGBoost+XGBoost_SMOTE+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,6
0.047086443187300646,1.0,0.08239700374531835,0.1522491349480969,0.877809981620246,0.3337747741822459,551,735,0,66,0.5715396578538102,801,XGBoost+LightGBM+XGBoost_SMOTE+ExtraTrees+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,7
0.0610995011656046,1.0,0.08239700374531835,0.1522491349480969,0.8776568170036287,0.33284389891893945,551,735,0,66,0.5715396578538102,801,LightGBM+RandomForest+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,5
0.1377038571451718,1.0,0.08239700374531835,0.1522491349480969,0.8768438663461992,0.3303845143882853,551,735,0,66,0.5715396578538102,801,LightGBM+RandomForest+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,5
0.07387437645700574,1.0,0.08239700374531835,0.1522491349480969,0.8753593477543711,0.3342041287769152,551,735,0,66,0.5715396578538102,801,LightGBM+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,4
0.07587259749082445,1.0,0.08239700374531835,0.1522491349480969,0.8750058909467929,0.3085955233771586,551,735,0,66,0.5715396578538102,801,RandomForest+LogisticRegression+GradientBoosting_SMOTE+AdaBoost_SMOTE,4
0.11823927837648447,1.0,0.08229426433915212,0.15207373271889402,0.8783990762995428,0.3436097842174174,550,736,0,66,0.5723172628304821,802,LightGBM+XGBoost_SMOTE+ExtraTrees+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,6
0.1395187566795478,1.0,0.08229426433915212,0.15207373271889402,0.8764197181771054,0.3415876129258476,550,736,0,66,0.5723172628304821,802,LightGBM+XGBoost_SMOTE+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,5
0.1411973171599911,1.0,0.08229426433915212,0.15207373271889402,0.8763372449220039,0.33419287017262184,550,736,0,66,0.5723172628304821,802,XGBoost_SMOTE+ExtraTrees+LogisticRegression+AdaBoost_SMOTE+EasyEnsemble,5
0.07284355710563568,1.0,0.08229426433915212,0.15207373271889402,0.8753357839671991,0.3316375994704415,550,736,0,66,0.5723172628304821,802,XGBoost+XGBoost_SMOTE+LogisticRegression+AdaBoost_SMOTE,4
